gender,age,resident,Marriage,Education,Employment,Income,Heathstatus,Chronic disease,whether had COVID-19,cognitiverisk,personalFear,misInformation,trust central Government,trust local Government,social fear,panic Buying,social support,trust health experts,trust health Authorities,trust medical Resource,trust health worker,Pandemic fatigue,cognitive dissonance
0,22,0,1,4,4,1,3,1,2,2,4,2,3,4,3,0,4,3,3,3,3,10,7
0,27,1,1,4,1,3,4,1,2,3,4,2,4,4,2.5,1,4,4,4,3.75,5,2,6
0,20,1,1,4,4,3,2,2,2,5,5,2,3,3,3,1,3,2,1,1.75,4,6,7
1,44,0,2,3,2,1,4,1,2,3,5,2,3,1,2.5,1,4,3,3,2.5,3,1,2
0,20,1,1,4,4,5,2,2,1,3,5,2,3,3,3,0,3,3,3,3,3,10,0
0,43,1,2,5,1,5,4,2,2,4,5,2,4,4,2.5,1,5,4,4,4,5,6,6
1,41,1,2,4,1,1,4,1,2,5,4,1,4,4,5,1,5,1,1,2.5,2,10,0
0,20,1,1,4,4,3,3,1,2,3,4,2,4,4,3.5,1,4,3,4,3,4,6,4
1,61,1,2,4,5,2,4,2,1,3,4,2,4,4,2,1,4,3,3,4,5,2,2
1,71,1,2,3,5,1,2,2,2,5,4,2,3,3,3,1,4,2,2,2.25,4,8,6
1,56,0,2,2,1,2,3,3,2,3,4,2,4,4,2.75,0,4,4,4,3.75,4,4,2
0,24,1,1,5,4,1,4,1,2,4,5,3,3,3,3.75,1,5,3,3,3,3,10,10
0,41,0,2,3,1,3,3,3,2,4,5,2,4,4,3.25,0,1,3,3,3,4,0,4
0,20,1,1,4,4,3,3,1,2,3,4,2,3,4,2.75,0,3,4,4,2.75,4,8,4
1,29,1,1,4,1,3,3,1,2,4,4,2,1,1,3,1,2,1,2,2,3,0,0
0,37,1,2,5,1,3,3,1,2,3,2,3,4,4,2.5,1,5,3,4,3.75,4,8,6
0,40,1,2,5,1,4,4,1,2,1,1,3,5,5,1,0,4,3,3,3,3,0,0
0,55,0,2,1,3,1,3,3,3,3,2,1,5,5,3.75,0,2,5,5,3.5,5,0,6
1,22,0,1,4,4,1,3,1,2,3,4,2,3,3,3.5,1,3,3,3,2.75,3,6,5
1,42,0,2,3,2,1,3,1,2,3,4,2,4,4,3.25,1,3,2,2,3,3,0,5
0,42,1,2,4,2,3,2,2,2,3,4,2,5,4,3,0,3,5,5,3,5,2,1
0,23,0,1,4,4,3,4,1,2,3,4,2,4,4,3,0,3,4,4,4,4,0,0
0,35,1,2,5,1,5,4,1,2,2,3,2,4,4,3.25,0,4,3,4,3.75,3,4,4
0,21,0,1,4,4,3,4,1,2,3,2,1,2,3,3.25,0,3,2,2,3.5,4,8,2
1,29,1,1,4,2,2,4,1,2,3,3,2,4,4,2,1,4,4,3,3,4,8,0
0,42,1,2,5,1,3,4,1,2,4,3,2,3,3,3.75,1,5,2,2,2.25,4,10,4
1,51,1,2,2,2,2,5,1,1,1,1,1,5,5,1,0,3,5,5,2.5,5,2,0
1,30,1,2,5,1,5,4,1,2,3,4,2,4,3,3.25,1,3,3,3,3,3,0,0
0,22,1,1,4,1,3,3,1,2,3,2,2,5,4,2.5,0,2,3,3,3,3,5,0
0,27,1,1,4,1,2,3,2,2,4,3,2,3,3,3.25,0,4,3,3,3,3,10,10
0,40,1,2,5,1,2,3,1,2,3,4,2,3,3,3.75,1,4,4,1,2.5,4,7,2
0,22,1,1,4,4,3,4,1,2,3,4,2,4,4,2,1,4,4,4,4,4,6,4
0,42,1,1,5,1,4,4,1,2,3,3,2,3,3,3,0,5,3,3,3,4,5,1
1,45,1,2,5,1,4,4,1,2,4,5,2,4,3,3.5,1,4,4,3,2.75,4,8,0
